time,Price,Volume
5/1/2007,189.925005,12945264
8/1/2007,193.725005,280552
9/1/2007,197.600005,358706
10/1/2007,201.550005,396400
11/1/2007,205.600005,3524604
12/1/2007,209.725005,3847062
15/01/2007,213.925005,306746
16/01/2007,218.225005,295398
17/01/2007,222.600005,2673284
18/01/2007,218.149995,1103220
19/01/2007,213.800005,284286
22/01/2007,209.524995,118388
23/01/2007,205.350005,1146166
24/01/2007,204.774995,1678018
25/01/2007,201.824995,826198
29/01/2007,199.699995,349174
31/01/2007,195.725005,326022
1/2/2007,199.649995,703460
2/2/2007,203.649995,101218
5/2/2007,199.574995,550518
6/2/2007,195.600005,151806
7/2/2007,191.699995,275432
8/2/2007,187.875,128722
9/2/2007,184.574995,320104
12/2/2007,180.899995,16890
13/02/2007,177.300005,12130
14/02/2007,173.774995,36780
15/02/2007,171.800005,1017264
19/02/2007,168.375,525380
20/02/2007,165.274995,736772
21/02/2007,168.600005,231966
22/02/2007,170.375,189724
23/02/2007,169,295070
26/02/2007,165.625,33940
27/02/2007,162.324995,26714
28/02/2007,159.100005,3896
1/3/2007,155.925005,4180
2/3/2007,152.824995,6168
5/3/2007,149.774995,1656
6/3/2007,146.800005,5682
7/3/2007,143.875,21996
8/3/2007,141,36136
9/3/2007,138.199995,207670
12/3/2007,140.975005,317254
13/03/2007,143.800005,51852
14/03/2007,146.675005,227424
15/03/2007,149.625,11756
16/03/2007,152.625,18940
19/03/2007,155.675005,25218
20/03/2007,158.800005,237004
21/03/2007,161.975005,40860
22/03/2007,165.225005,0
23/03/2007,167.524995,28120
26/03/2007,170.875,544646
28/03/2007,171.375,364656
29/03/2007,170.875,183692
30/03/2007,174.300005,489708
2/4/2007,177.225005,463256
3/4/2007,177.375,0
4/4/2007,178.899995,241492
5/4/2007,182.125,101408
9/4/2007,183.774995,63134
10/4/2007,180.100005,110288
11/4/2007,176.5,81820
12/4/2007,179.125,298392
13/04/2007,181.175005,381938
16/04/2007,184.800005,110238
17/04/2007,188.5,185740
18/04/2007,192.274995,123014
19/04/2007,195.5,383088
20/04/2007,200.050005,29946
23/04/2007,204.050005,71624
24/04/2007,208.149995,276684
25/04/2007,212.324995,18488
26/04/2007,216.574995,14852
27/04/2007,220.925005,438826
30/04/2007,216.550005,385018
3/5/2007,212.225005,316050
4/5/2007,208,217242
7/5/2007,203.850005,236290
8/5/2007,204.024995,281590
9/5/2007,200.449995,51622
10/5/2007,204.475005,50820
11/5/2007,207.975005,107038
14/05/2007,205.175005,96802
15/05/2007,202.375,72488
16/05/2007,202.024995,54132
17/05/2007,205.324995,121400
18/05/2007,206.225005,321126
21/05/2007,204.574995,104210
22/05/2007,200.5,32456
23/05/2007,204.524995,197954
24/05/2007,201.800005,135404
25/05/2007,202.899995,259090
28/05/2007,202.024995,94324
29/05/2007,203.774995,163208
30/05/2007,200.149995,55266
31/05/2007,204.175005,270394
1/6/2007,207.425005,414824
4/6/2007,203.274995,141816
5/6/2007,204.75,111458
6/6/2007,200.675005,75508
7/6/2007,202.800005,192372
8/6/2007,198.975005,56814
11/6/2007,197.925005,56990
12/6/2007,194.574995,91992
13/06/2007,192.475005,65592
14/06/2007,191,59918
15/06/2007,194.449995,46164
18/06/2007,195.175005,93334
19/06/2007,198.600005,98302
20/06/2007,202.574995,106240
21/06/2007,206.625,124184
22/06/2007,202.925005,88136
25/06/2007,199.625,85162
26/06/2007,200.350005,95968
27/06/2007,199.949995,35938
28/06/2007,198.199995,47724
29/06/2007,198.649995,58980
2/7/2007,197.5,57232
3/7/2007,195.824995,90800
4/7/2007,193.574995,342304
5/7/2007,194.850005,41926
6/7/2007,204.600005,162004
9/7/2007,214.850005,166680
10/7/2007,225.600005,116848
11/7/2007,236.899995,387096
12/7/2007,248.75,300516
13/07/2007,237.550005,807684
16/07/2007,237.975005,126494
17/07/2007,238.25,134070
18/07/2007,236.600005,188600
19/07/2007,248.449995,263052
20/07/2007,237.074995,580706
23/07/2007,240.024995,164212
24/07/2007,239.25,237880
25/07/2007,238.600005,142908
26/07/2007,238.050005,39004
27/07/2007,226.699995,57118
30/07/2007,229.600005,57822
31/07/2007,229.550005,112096
1/8/2007,218.074995,96590
2/8/2007,221.949995,70576
3/8/2007,221.274995,22536
6/8/2007,221.625,79588
7/8/2007,231.925005,185564
8/8/2007,243.524995,140968
9/8/2007,231.350005,143050
10/8/2007,220.125,268986
13/08/2007,222.175005,77562
14/08/2007,222.175005,41554
16/08/2007,224.649995,60978
17/08/2007,218.425005,49990
20/08/2007,220.125,46494
21/08/2007,213.5,46572
22/08/2007,216.149995,50900
23/08/2007,215.024995,61822
24/08/2007,216.725005,16602
27/08/2007,225.725005,41404
28/08/2007,224.899995,53520
29/08/2007,221.199995,12750
30/08/2007,226.274995,27208
31/08/2007,227.5,12076
3/9/2007,226.324995,44748
4/9/2007,224.375,42542
5/9/2007,221.800005,44620
6/9/2007,232.899995,161770
7/9/2007,232.550005,114940
10/9/2007,248.699995,617612
11/9/2007,241.25,85722
12/9/2007,265.375,329414
13/09/2007,270.70001,427508
14/09/2007,265.67499,151324
17/09/2007,261.350005,40074
18/09/2007,264.29999,287408
19/09/2007,285.25,242578
20/09/2007,283.67499,250008
21/09/2007,306.024995,218134
24/09/2007,294.375,123628
25/09/2007,323.225005,0
26/09/2007,327.20001,272332
27/09/2007,312.625,115410
28/09/2007,302.42499,68976
1/10/2007,307.649995,86724
3/10/2007,310.29999,126892
4/10/2007,300.45001,27258
5/10/2007,313.600005,138328
8/10/2007,298.45001,51498
9/10/2007,295.024995,76916
10/10/2007,296.92499,38890
11/10/2007,294.95001,23184
12/10/2007,290.975005,34206
15/10/2007,290.975005,57506
16/10/2007,294.399995,33370
17/10/2007,282.225005,75672
18/10/2007,270.600005,76078
19/10/2007,270.524995,37164
22/10/2007,283.725005,48606
23/10/2007,296.524995,64494
24/10/2007,284.899995,55444
25/10/2007,287.29999,27002
26/10/2007,301.57501,272892
29/10/2007,316.67499,277404
30/10/2007,323.100005,199124
31/10/2007,314.774995,52306
1/11/2007,326.024995,116024
2/11/2007,325.875,52808
5/11/2007,314.42499,22040
6/11/2007,316.024995,21152
7/11/2007,334.70001,333082
8/11/2007,333.100005,112042
9/11/2007,325.649995,6126
12/11/2007,338.649995,67978
13/11/2007,334.274995,186690
14/11/2007,332.54999,68336
15/11/2007,340.975005,53636
16/11/2007,355.42499,257580
19/11/2007,357.524995,20620
20/11/2007,367.29999,46676
21/11/2007,346.5,128640
22/11/2007,346.850005,69248
23/11/2007,355.82501,11148
26/11/2007,350.149995,43174
27/11/2007,349.70001,39754
28/11/2007,348.875,22968
29/11/2007,348.42499,27218
30/11/2007,349.725005,9660
3/12/2007,352.5,212728
4/12/2007,350.524995,29112
5/12/2007,345,13454
6/12/2007,342.024995,37040
7/12/2007,348.57501,23962
10/12/2007,344.82501,326402
11/12/2007,341.024995,81994
12/12/2007,331.07501,30076
13/12/2007,332,19158
14/12/2007,340.42499,16194
17/12/2007,336.95001,33532
18/12/2007,329.725005,17124
19/12/2007,340.75,16372
20/12/2007,334.82501,9298
24/12/2007,340.125,9576
26/12/2007,357.04999,66040
27/12/2007,363.20001,37948
28/12/2007,367.95001,24986
31/12/2007,380.899995,67932
1/1/2008,400.42499,95794
2/1/2008,398.67499,26986
3/1/2008,385.274995,16060
4/1/2008,381.774995,10188
7/1/2008,376.57501,34222
8/1/2008,353.625,57006
9/1/2008,364.125,18214
10/1/2008,352.899995,23994
11/1/2008,343.79999,31062
14/01/2008,342.375,31458
15/01/2008,360.04999,41418
16/01/2008,351.774995,17822
17/01/2008,347.899995,18514
18/01/2008,340.29999,11774
21/01/2008,319.899995,48082
22/01/2008,303.57501,26236
23/01/2008,340.600005,39400
24/01/2008,312.375,19290
25/01/2008,320.875,19028
28/01/2008,321.975005,25326
29/01/2008,323.70001,7904
30/01/2008,314.625,19586
31/01/2008,312.42499,23058
1/2/2008,310.350005,9146
4/2/2008,313.350005,20538
5/2/2008,313.399995,5324
6/2/2008,308.149995,8140
7/2/2008,301.399995,14320
8/2/2008,298.625,33290
11/2/2008,302.25,26508
12/2/2008,299.149995,50244
13/02/2008,300.350005,56486
14/02/2008,312.274995,20510
15/02/2008,321.399995,63282
18/02/2008,336.399995,46528
19/02/2008,329.774995,60036
